,Description
962,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer16105145393942455618"">The Danes—the band known as the “Darlings of Detroit”—are washed up and desperate for inspiration, eager to once again have a number one hit. That is, until an agent from the US Army approaches them. Will they travel to an African desert and track down the source of a mysterious and malevolent sound? Under the guidance of their frontman, Philip Tonka, the Danes embark on a</span>
  <span id=""freeText16105145393942455618"" style=""display:none"">The Danes—the band known as the “Darlings of Detroit”—are washed up and desperate for inspiration, eager to once again have a number one hit. That is, until an agent from the US Army approaches them. Will they travel to an African desert and track down the source of a mysterious and malevolent sound? Under the guidance of their frontman, Philip Tonka, the Danes embark on a harrowing journey through the scorching desert—a trip that takes Tonka into the heart of an ominous and twisted conspiracy. <br/><br/>Meanwhile, in a nondescript Midwestern hospital, a nurse named Ellen tends to a patient recovering from a near-fatal accident. The circumstances that led to his injuries are mysterious-and his body heals at a remarkable rate. Ellen will do the impossible for this enigmatic patient, who reveals more about his accident with each passing day.</span>
  <a data-text-id=""16105145393942455618"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
963,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer3604858043480959690"">No one could understand why Colin and Roy were best friends. Colin was so shy; Roy was so popular. Colin was nervous around girls; Roy was a ladies’ man. Colin was fascinated by Roy — and Roy was fascinated with death. Then one day Roy asked his timid friend, “You ever killed anything?” And from that moment on, the two were bound together in a game too terrifying to imagin</span>
  <span id=""freeText3604858043480959690"" style=""display:none"">No one could understand why Colin and Roy were best friends. Colin was so shy; Roy was so popular. Colin was nervous around girls; Roy was a ladies’ man. Colin was fascinated by Roy — and Roy was fascinated with death. Then one day Roy asked his timid friend, “You ever killed anything?” And from that moment on, the two were bound together in a game too terrifying to imagine… and too irresistible to stop.<br/><br/><b>Includes an afterword by the author.</b></span>
  <a data-text-id=""3604858043480959690"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
964,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer5862551913095909036"">Toby was just a boy the first time he saw the creature in the woods. His parents convinced the terrified child it was only his imagination. The next time Toby saw the creature he was a lonely, unhappy teenager without friends.<br/><br/>But the creature would be his friend. It would be there when Toby needed someone to talk to. And it would take care of the bullies who wouldn’t leave</span>
  <span id=""freeText5862551913095909036"" style=""display:none"">Toby was just a boy the first time he saw the creature in the woods. His parents convinced the terrified child it was only his imagination. The next time Toby saw the creature he was a lonely, unhappy teenager without friends.<br/><br/>But the creature would be his friend. It would be there when Toby needed someone to talk to. And it would take care of the bullies who wouldn’t leave Toby alone. After all, the creature needed to eat.<br/><br/>And during their macabre, decades-long friendship, there will be other meals...</span>
  <a data-text-id=""5862551913095909036"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
965,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer16460247443825763480"">One day the rain just didn't stop. As the flood waters slowly rose and coastal cities and towns disappeared, some people believed it was the end of the world. Maybe they were right. But the water wasn't the worst part. Even more terrifying was what the soaking rains drove up from beneath the earth — unimaginable creatures, writhing, burrowing ... and devouring all in their</span>
  <span id=""freeText16460247443825763480"" style=""display:none"">One day the rain just didn't stop. As the flood waters slowly rose and coastal cities and towns disappeared, some people believed it was the end of the world. Maybe they were right. But the water wasn't the worst part. Even more terrifying was what the soaking rains drove up from beneath the earth — unimaginable creatures, writhing, burrowing ... and devouring all in their path. What hope does an already-devastated mankind have against ... THE CONQUEROR WORMS?</span>
  <a data-text-id=""16460247443825763480"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
966,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer8283455837480176702"">That <i>The Illustrated Man</i> has remained in print since being published in 1951 is fair testimony to the universal appeal of Ray Bradbury's work. Only his second collection (the first was <i>Dark Carnival</i>, later reworked into <i>The October Country</i>), it is a marvelous, if mostly dark, quilt of science fiction, fantasy, and horror. In an ingenious framework to open and close the boo</span>
  <span id=""freeText8283455837480176702"" style=""display:none"">That <i>The Illustrated Man</i> has remained in print since being published in 1951 is fair testimony to the universal appeal of Ray Bradbury's work. Only his second collection (the first was <i>Dark Carnival</i>, later reworked into <i>The October Country</i>), it is a marvelous, if mostly dark, quilt of science fiction, fantasy, and horror. In an ingenious framework to open and close the book, Bradbury presents himself as a nameless narrator who meets the Illustrated Man--a wanderer whose entire body is a living canvas of exotic tattoos. What's even more remarkable, and increasingly disturbing, is that the illustrations are themselves magically alive, and each proceeds to unfold its own story, such as ""The Veldt,"" wherein rowdy children take a game of virtual reality way over the edge. Or ""Kaleidoscope,"" a heartbreaking portrait of stranded astronauts about to reenter our atmosphere--without the benefit of a spaceship. Or ""Zero Hour,"" in which invading aliens have discovered a most logical ally--our own children. Even though most were written in the 1940s and 1950s, these 18 classic stories will be just as chillingly effective 50 years from now. <i>--Stanley Wiater</i><br/><br/>Contents:<br/><br/>· Prologue: The Illustrated Man · ss * <br/>· The Veldt [“The World the Children Made”] · ss The Saturday Evening Post Sep 23 ’50 <br/>· Kaleidoscope · ss Thrilling Wonder Stories Oct ’49 <br/>· The Other Foot · ss New Story Magazine Mar ’51 <br/>· The Highway [as by Leonard Spalding] · ss Copy Spr ’50 <br/>· The Man · ss Thrilling Wonder Stories Feb ’49 <br/>· The Long Rain [“Death-by-Rain”] · ss Planet Stories Sum ’50 <br/>· The Rocket Man · ss Maclean’s Mar 1 ’51 <br/>· The Fire Balloons [“‘In This Sign...’”] · ss Imagination Apr ’51 <br/>· The Last Night of the World · ss Esquire Feb ’51 <br/>· The Exiles [“The Mad Wizards of Mars”] · ss Maclean’s Sep 15 ’49; F&amp;SF Win ’50 <br/>· No Particular Night or Morning · ss * <br/>· The Fox and the Forest [“To the Future”] · ss Colliers May 13 ’50 <br/>· The Visitor · ss Startling Stories Nov ’48 <br/>· The Concrete Mixer · ss Thrilling Wonder Stories Apr ’49 <br/>· Marionettes, Inc. [Marionettes, Inc.] · ss Startling Stories Mar ’49 <br/>· The City [“Purpose”] · ss Startling Stories Jul ’50 <br/>· Zero Hour · ss Planet Stories Fll ’47 <br/>· The Rocket [“Outcast of the Stars”] · ss Super Science Stories Mar ’50 <br/>· Epilogue · aw *</span>
  <a data-text-id=""8283455837480176702"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
967,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer13043770380546810479"">Rick. Ezekiel. Gregory. Negan. Each man holds the fate of their community in their hands... and WAR is on the horizon! <br/><br/>This volume collects THE WALKING DEAD #109-114, the prelude to ALL OUT WAR-the epic battle that will change the world of THE WALKING DEAD for years to come.</span>

      </div>"
968,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer10893978467721635390"">The time is the present.<br/><br/>The place, the rugged coast of northern California. A bluff high above the Pacific. A grand mansion full of beauty and tantalizing history set against a towering redwood forest.<br/><br/>A young reporter on assignment from the San Francisco Observer. . . an older woman, welcoming him into her magnificent, historic family home that he has been sent to write ab</span>
  <span id=""freeText10893978467721635390"" style=""display:none"">The time is the present.<br/><br/>The place, the rugged coast of northern California. A bluff high above the Pacific. A grand mansion full of beauty and tantalizing history set against a towering redwood forest.<br/><br/>A young reporter on assignment from the San Francisco Observer. . . an older woman, welcoming him into her magnificent, historic family home that he has been sent to write about and that she must sell with some urgency . . . A chance encounter between two unlikely people . . . an idyllic night—shattered by horrific unimaginable violence. . .The young man inexplicably attacked—bitten—by a beast he cannot see in the rural darkness . . . A violent episode that sets in motion a terrifying yet seductive transformation as the young man, caught between ecstasy and horror, between embracing who he is evolving into and fearing who—what—he will become, soon experiences the thrill of the wolf gift.<br/><br/>As he resists the paradoxical pleasure and enthrallment of his wolfen savagery and delights in the power and (surprising) capacity for good, he is caught up in a strange and dangerous rescue and is desperately hunted as “the Man Wolf,” by authorities, the media and scientists (evidence of DNA threaten to reveal his dual existence). . . As a new and profound love enfolds him, questions emerge that propel him deeper into his mysterious new world: questions of why and how he has been given this gift; of its true nature and the curious but satisfying pull towards goodness; of the profound realization that there are others like him who may be watching—guardian creatures who have existed throughout time and may possess ancient secrets and alchemical knowledge and throughout it all, the search for salvation for a soul tormented by a new realm of temptations, and the fraught, exhilarating journey, still to come, of being and becoming, fully, both wolf and man.</span>
  <a data-text-id=""10893978467721635390"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
969,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer15565103117739471520""><b>At last—the sequel to Bram Stoker's classic novel Dracula, written by his direct descendant and a Dracula historian</b><br/><br/> Bram Stoker's <i>Dracula</i> is the prototypical horror novel, an inspiration for the world's seemingly limitless fascination with vampires. Though many have tried to replicate Stoker's horror classic—in books, television shows, and movies—only the 1931 Bela Lugosi </span>
  <span id=""freeText15565103117739471520"" style=""display:none""><b>At last—the sequel to Bram Stoker's classic novel Dracula, written by his direct descendant and a Dracula historian</b><br/><br/> Bram Stoker's <i>Dracula</i> is the prototypical horror novel, an inspiration for the world's seemingly limitless fascination with vampires. Though many have tried to replicate Stoker's horror classic—in books, television shows, and movies—only the 1931 Bela Lugosi film bore the Stoker family's support. Until now. <br/><br/> <i>Dracula The Un-Dead</i> is a bone-chilling sequel based on Bram Stoker's own handwritten notes for characters and plot threads excised from the original edition. <i>Dracula The Un-Dead</i> begins in 1912, twenty-five years after Dracula ""crumbled into dust."" Van Helsing's protégé, Dr. Jack Seward, is now a disgraced morphine addict obsessed with stamping out evil across Europe. Meanwhile, an unknowing Quincey Harker, the grown son of Jonathan and Mina, leaves law school for the London stage, only to stumble upon the troubled production of ""Dracula,"" directed and produced by Bram Stoker himself. <br/><br/> The play plunges Quincey into the world of his parents' terrible secrets, but before he can confront them he experiences evil in a way he had never imagined. One by one, the band of heroes that defeated Dracula a quarter-century ago is being hunted down. Could it be that Dracula somehow survived their attack and is seeking revenge? Or is there another force at work whose relentless purpose is to destroy anything and anyone associated with Dracula? <br/><br/> <i>Dracula The Un-Dead</i> is deeply researched, rich in character, thrills and scares, and lovingly crafted as both an extension and celebration of one of the most classic popular novels in literature.</span>
  <a data-text-id=""15565103117739471520"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
970,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer17134562112501763586""><b>A young woman in need of a transformation finds herself in touch with the animal inside in this gripping, incisive novel from the author of <i>Cackle</i> and <i>The Return</i>.</b><br/><br/>Rory Morris isn't thrilled to be moving back to her hometown, even if it is temporary. There are bad memories there. But her twin sister, Scarlett, is pregnant, estranged from the baby's father, and needs support,</span>
  <span id=""freeText17134562112501763586"" style=""display:none""><b>A young woman in need of a transformation finds herself in touch with the animal inside in this gripping, incisive novel from the author of <i>Cackle</i> and <i>The Return</i>.</b><br/><br/>Rory Morris isn't thrilled to be moving back to her hometown, even if it is temporary. There are bad memories there. But her twin sister, Scarlett, is pregnant, estranged from the baby's father, and needs support, so Rory returns to the place she thought she'd put in her rearview. After a night out at a bar where she runs into an old almost-flame, she hits a large animal with her car. And when she gets out to investigate, she's attacked.<br/><br/>Rory survives, miraculously, but life begins to look and feel different. She's unnaturally strong, with an aversion to silver--and suddenly the moon has her in its thrall. She's changing into someone else--something else, maybe even a monster. But does that mean she's putting those close to her in danger? Or is embracing the wildness inside of her the key to acceptance?<br/><br/>This darkly comedic love story is a brilliantly layered portrait of trauma, rage, and vulnerability.</span>
  <a data-text-id=""17134562112501763586"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
971,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer17475775877555089928"">The worst thing possible has happened. Richard and Juliette Willoughby’s son, Ewan, has died suddenly at the age of five. Starve Acre, their house by the moors, was to be full of life, but is now a haunted place.<br/><br/>Juliette, convinced Ewan still lives there in some form, seeks the help of the Beacons, a seemingly benevolent group of occultists. Richard, to try and keep the bo</span>
  <span id=""freeText17475775877555089928"" style=""display:none"">The worst thing possible has happened. Richard and Juliette Willoughby’s son, Ewan, has died suddenly at the age of five. Starve Acre, their house by the moors, was to be full of life, but is now a haunted place.<br/><br/>Juliette, convinced Ewan still lives there in some form, seeks the help of the Beacons, a seemingly benevolent group of occultists. Richard, to try and keep the boy out of his mind, has turned his attention to the field opposite the house, where he patiently digs the barren dirt in search of a legendary oak tree.<br/><br/><i>Starve Acre</i> is a devastating new novel by the author of the prize-winning bestseller The Loney. It is a novel about the way in which grief splits the world in two and how, in searching for hope, we can so easily unearth horror.</span>
  <a data-text-id=""17475775877555089928"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
972,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer10047266769756644862""><i>""You have two days to pass your audition. You better pass it, feller. You’re joining the circus. Ain’t that the best news you ever got?""</i><br/><br/>Delivered by a trio of psychotic clowns, this ultimatum plunges Jamie into the horrific alternate universe that is the centuries-old Pilo Family Circus, a borderline world between Hell and Earth from which humankind’s greatest tragedies ha</span>
  <span id=""freeText10047266769756644862"" style=""display:none""><i>""You have two days to pass your audition. You better pass it, feller. You’re joining the circus. Ain’t that the best news you ever got?""</i><br/><br/>Delivered by a trio of psychotic clowns, this ultimatum plunges Jamie into the horrific alternate universe that is the centuries-old Pilo Family Circus, a borderline world between Hell and Earth from which humankind’s greatest tragedies have been perpetrated. Yet in this place—peopled by the gruesome, grotesque, and monstrous—where violence and savagery are the norm, Jamie finds that his worst enemy is himself. <br/><br/>When he applies the white face paint, he is transformed into JJ, the most vicious clown of all. And JJ wants Jamie dead!</span>
  <a data-text-id=""10047266769756644862"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
973,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer3561702503984844865"">Sookie Stackhouse is a cocktail waitress in Bon Temps, Louisiana. She has only a few close friends, because not everyone appreciates Sookie’s gift: she can read minds. That’s not exactly every man’s idea of date bait – unless they’re undead; vampires and the like can be tough to read. And that’s just the kind of guy Sookie’s been looking for. Maybe that’s why, when she com</span>
  <span id=""freeText3561702503984844865"" style=""display:none"">Sookie Stackhouse is a cocktail waitress in Bon Temps, Louisiana. She has only a few close friends, because not everyone appreciates Sookie’s gift: she can read minds. That’s not exactly every man’s idea of date bait – unless they’re undead; vampires and the like can be tough to read. And that’s just the kind of guy Sookie’s been looking for. Maybe that’s why, when she comes across a naked vampire, she doesn’t just drive on by. He hasn’t got a clue who he is, but Sookie has: Eric looks just as scary and sexy – and dead – as ever. But now he has amnesia, he’s sweet, vulnerable, and in need of Sookie’s help – because whoever took his memory now wants his life.</span>
  <a data-text-id=""3561702503984844865"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
974,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer3593532896395865900"">With <i>The Mysteries of Udolpho</i>, Ann Radcliffe raised the Gothic romance to a new level and inspired a long line of imitators. Portraying her heroine's inner life, creating a thick atmosphere of fear, and providing a gripping plot that continues to thrill readers today, <i>The Mysteries of Udolpho</i> is the story of orphan Emily St. Aubert, who finds herself separated from the man</span>
  <span id=""freeText3593532896395865900"" style=""display:none"">With <i>The Mysteries of Udolpho</i>, Ann Radcliffe raised the Gothic romance to a new level and inspired a long line of imitators. Portraying her heroine's inner life, creating a thick atmosphere of fear, and providing a gripping plot that continues to thrill readers today, <i>The Mysteries of Udolpho</i> is the story of orphan Emily St. Aubert, who finds herself separated from the man she loves and confined within the medieval castle of her aunt's new husband, Montoni. Inside the castle, she must cope with an unwanted suitor, Montoni's threats, and the wild imaginings and terrors that threaten to overwhelm her.<br/><br/> This new edition includes an introduction that discusses the publication and early reception of the novel, the genre of Gothic romance, and Radcliffe's use of history, exotic settings, the supernatural, and poetry.</span>
  <a data-text-id=""3593532896395865900"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
975,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer7583009869705487344"">Lights. Camera. Slawter!<br/><br/>Grubbs Grady and his half-brother Bill-E are thrilled to join their uncle Dervish as onset consultants for the newest movie by cult horror producer David A Hayms. Shot in a deserted town renamed Slawter, the demon-themed movie is to be Hayms's masterpiece. But as strange incidents disrupt the set, Grubbs begins to wonder whether more than filming is</span>
  <span id=""freeText7583009869705487344"" style=""display:none"">Lights. Camera. Slawter!<br/><br/>Grubbs Grady and his half-brother Bill-E are thrilled to join their uncle Dervish as onset consultants for the newest movie by cult horror producer David A Hayms. Shot in a deserted town renamed Slawter, the demon-themed movie is to be Hayms's masterpiece. But as strange incidents disrupt the set, Grubbs begins to wonder whether more than filming is afoot.</span>
  <a data-text-id=""7583009869705487344"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
976,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer7118769284401904929"">Seventeen-year-old Tark knows what it is to be powerless. But Okiku changed that. A restless spirit who ended life as a victim and started death as an avenger, she’s groomed Tark to destroy the wicked. But when darkness pulls them deep into Aokigahara, known as Japan’s suicide forest, Okiku’s justice becomes blurred, and Tark is the one who will pay the price…</span>

      </div>"
977,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer1851609397006911987"">The pursuit begins....Darren Shan, the Vampire Prince, leaves Vampire Mountain on a life or death mission. As part of an elite force, Darren searches the world for the Vampaneze Lord. But the road ahead is long and dangerous-and lined with the bodies of the damned.</span>

      </div>"
978,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer15179338747600019200"">It’s the last summer for Kit Lamb: The last summer before college. The last summer with her high school basketball team, and with Dana, her best friend. The last summer before her life begins.<br/><br/>But the night before the big game, one of the players tells a ghost story about Daphne, a girl who went to their school many years ago and died under mysterious circumstances. Some sa</span>
  <span id=""freeText15179338747600019200"" style=""display:none"">It’s the last summer for Kit Lamb: The last summer before college. The last summer with her high school basketball team, and with Dana, her best friend. The last summer before her life begins.<br/><br/>But the night before the big game, one of the players tells a ghost story about Daphne, a girl who went to their school many years ago and died under mysterious circumstances. Some say she was murdered, others that she died by her own hand. And some say that Daphne is a murderer herself. They also say that Daphne is still out there, obsessed with revenge, and will appear to kill again anytime someone thinks about her.<br/><br/>After Kit hears the story, her teammates vanish, one by one, and Kit begins to suspect that the stories about Daphne are real . . . and to fear that her own mind is conjuring the killer. Now it’s a race against time as Kit searches for the truth behind the legend and learns to face her own fears—before the summer of her life becomes the last summer of her life.<br/><br/>Mixing a nostalgic coming-of-age story and an instantly iconic female villain with an innovative new vision of classic horror, Daphne is an unforgettable thriller as only Josh Malerman could imagine it.</span>
  <a data-text-id=""15179338747600019200"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
979,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer5959334417000505516"">RUN... OR DIE<br/><br/>The van was in back of them again. Closer this time. There could be no mistake--they were being followed.<br/><br/>RUN... OR DIE<br/><br/>But why? The question kept nagging at Alex and Colin as they left Philadelphia behind and sped toward their new home in San Francisco. Courtney would be waiting for the, ready to begin a wonderful new life with her husband, her brother...<br/><br/>RUN...</span>
  <span id=""freeText5959334417000505516"" style=""display:none"">RUN... OR DIE<br/><br/>The van was in back of them again. Closer this time. There could be no mistake--they were being followed.<br/><br/>RUN... OR DIE<br/><br/>But why? The question kept nagging at Alex and Colin as they left Philadelphia behind and sped toward their new home in San Francisco. Courtney would be waiting for the, ready to begin a wonderful new life with her husband, her brother...<br/><br/>RUN... OR DIE<br/><br/>Now, someone else is driving cross-country to see Courtney, too. Someone whose brain is rotting inside. Someone who knows their route, their stops, even their destination.<br/><br/>RUN... OR DIE<br/><br/>He's got an ax.<br/><br/>""<i>Shattered</i> catches you by the throat and won't let you go"" --Chicago SunTimes</span>
  <a data-text-id=""5959334417000505516"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
980,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer15198802129633924626"">A bastard hybrid of <i>War of the Worlds</i> and <i>Night of the Living Dead</i>, <i>Autumn </i>chronicles the struggle of a small group of survivors forced to contend with a world torn apart by a deadly disease. After 99% of the population of the planet is killed in less than 24 hours, for the very few who have managed to stay alive, things are about to get much worse. Animated by phase two o</span>
  <span id=""freeText15198802129633924626"" style=""display:none"">A bastard hybrid of <i>War of the Worlds</i> and <i>Night of the Living Dead</i>, <i>Autumn </i>chronicles the struggle of a small group of survivors forced to contend with a world torn apart by a deadly disease. After 99% of the population of the planet is killed in less than 24 hours, for the very few who have managed to stay alive, things are about to get much worse. Animated by phase two of some unknown contagion, the dead begin to rise. At first slow, blind, dumb and lumbering, quickly the bodies regain their most basic senses and abilities... sight, hearing, locomotion... As well as the instinct toward aggression and violence. Held back only by the restraints of their rapidly decomposing flesh, the dead seem to have only one single goal - to lumber forth and destroy the sole remaining attraction in the silent, lifeless world: those who have survived the plague, who now find themselves outnumbered 1,000,000 to 1...<br/><br/><br/><br/>Without ever using the 'Z' word, <i>Autumn</i> offers a new perspective on the traditional zombie story. There's no flesh eating, no fast-moving corpses, no gore for gore's sake. Combining the atmosphere and tone of George Romero's classic living dead films with the attitude and awareness of 28 Days (and Weeks) later, this horrifying and suspenseful novel is filled with relentless cold, dark fear.</span>
  <a data-text-id=""15198802129633924626"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
981,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer10925384495044161635"">Based on the bestselling horror video game series, Five Nights at Freddy’s follows a young woman named Charlotte, who reunites with her childhood friends on the anniversary of the tragedy that ripped their town apart. It’s been exactly ten years since the murders at Freddy Fazbear’s Pizza, and Charlotte, who goes by the name Charlie, has spent the last ten years trying to </span>
  <span id=""freeText10925384495044161635"" style=""display:none"">Based on the bestselling horror video game series, Five Nights at Freddy’s follows a young woman named Charlotte, who reunites with her childhood friends on the anniversary of the tragedy that ripped their town apart. It’s been exactly ten years since the murders at Freddy Fazbear’s Pizza, and Charlotte, who goes by the name Charlie, has spent the last ten years trying to forget. Her father had owned Freddy Fazbear’s Pizza and had built its four adult-sized animatronic animals. After meeting up with her friends, curiosity leads them back to the old pizza place, and they find it hidden, but still standing. They discover a way inside, but things are not as they used to be: the four mascots that delighted and entertained them as children have changed. The animatronic animals have a dark secret and a murderous agenda.</span>
  <a data-text-id=""10925384495044161635"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
982,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer14250580231550302106"">The Hull family has owned the Gallows Hill Winery for generations, living and working on the beautiful grounds where they grow their famous grapes. Until the night Mr. and Mrs. Hull settle down for the evening...and are dead by morning.<br/><br/>When their daughter, Margot, inherits the family business, she wants nothing to do with it. The winery is valued for its unparalleled produ</span>
  <span id=""freeText14250580231550302106"" style=""display:none"">The Hull family has owned the Gallows Hill Winery for generations, living and working on the beautiful grounds where they grow their famous grapes. Until the night Mr. and Mrs. Hull settle down for the evening...and are dead by morning.<br/><br/>When their daughter, Margot, inherits the family business, she wants nothing to do with it. The winery is valued for its unparalleled produce, but it's built on a field where hundreds of convicts were once hanged, and the locals whisper morbid rumors. They say the ground is cursed.<br/><br/>It's been more than a decade since Margot last saw her childhood home. But now that she's alone in the sprawling, dilapidated building, she begins to believe the curse is more than real―and that she may be the next victim of the house that never rests...</span>
  <a data-text-id=""14250580231550302106"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
983,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer2299569885642992703"">The village of Saint-Ferdinand has all the trappings of a quiet life: farmhouses stretching from one main street, a small police precinct, a few diners and cafes, and a grocery store. Though if an out-of-towner stopped in, they would notice one unusual thing--a cemetery far too large and much too full for such a small town, lined with the victims of the Saint-Ferdinand Kil</span>
  <span id=""freeText2299569885642992703"" style=""display:none"">The village of Saint-Ferdinand has all the trappings of a quiet life: farmhouses stretching from one main street, a small police precinct, a few diners and cafes, and a grocery store. Though if an out-of-towner stopped in, they would notice one unusual thing--a cemetery far too large and much too full for such a small town, lined with the victims of the Saint-Ferdinand Killer, who has eluded police for nearly two decades. It's not until after Inspector Stephen Crowley finally catches the killer that the town discovers even darker forces are at play.<br/><br/>When a dark spirit reveals itself to Venus McKenzie, one of Saint-Ferdinand's teenage residents, she learns that this creature's power has a long history with her town--and that the serial murders merely scratch the surface of a past burdened by evil secrets.</span>
  <a data-text-id=""2299569885642992703"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
984,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer8612435253624134588""><b>BEWARE THE HARE!<br/><i>Is he or isn't he a vampire?</i></b> <br/><br/> Before it's too late, Harold the dog and Chester the cat must find out the truth about the newest pet in the Monroe household -- a suspicious-looking bunny with unusual habits... and fangs!</span>
  <span id=""freeText8612435253624134588"" style=""display:none""><b>BEWARE THE HARE!<br/><i>Is he or isn't he a vampire?</i></b> <br/><br/> Before it's too late, Harold the dog and Chester the cat must find out the truth about the newest pet in the Monroe household -- a suspicious-looking bunny with unusual habits... and fangs!</span>
  <a data-text-id=""8612435253624134588"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
985,"<div class=""readable stacked"" id=""description"" style=""right:0"">
        
<span id=""freeTextContainer9758995290833327454"">Secret Cove. Ruggedly beautiful and remote, bordered by dark woods and deserted beaches, this postcard-perfect village harbors the mansions of the wealthy—families who have summered in splendid seclusion at Secret Cove for generations. Here, one hundred years ago, on the night of the annual August Moon Ball, a shy and lovely servant girl committed a single, unspeakable act</span>
  <span id=""freeText9758995290833327454"" style=""display:none"">Secret Cove. Ruggedly beautiful and remote, bordered by dark woods and deserted beaches, this postcard-perfect village harbors the mansions of the wealthy—families who have summered in splendid seclusion at Secret Cove for generations. Here, one hundred years ago, on the night of the annual August Moon Ball, a shy and lovely servant girl committed a single, unspeakable act of violence—an act so shocking its legacy lives still.<br/><br/>And now, long after the horror of that night has faded to a tale whispered by children around summer camp fires, an unholy terror is about to be reborn.<br/><br/>Now, one family is about to feel the icy hand of supernatural fear—as Melissa Holloway, shy and troubled and just thirteen years old, comes to know the blood-drenched secret that waits behind a locked attic door... For in the dead of night a Secret Cove sleeps unaware, a soul-chilling presence slowly begins to enact a terrifying vengeance.<br/><br/>Second Child: It is unspeakable evil merely Melissa's nightmares made horrifyingly real? Is it the manifestation of deadly fury risen from the grave? Or is the heart-stopping horror soon to be unleased in Secret Cove something even more insidious--something unimaginably evil...and alive?</span>
  <a data-text-id=""9758995290833327454"" href=""#"" onclick=""swapContent($(this));; return false;"">...more</a>

      </div>"
986,
987,
